Seed,Sample Size,True Effect 1,True Effect 2,Causal Effect Estimate 1 (Cumulant),Causal Effect Estimate 2 (Cumulant),Causal Effect Estimate 1 (Min Norm),Causal Effect Estimate 2 (Min Norm),Distance to Line,GRICA Effect Estimate 1,GRICA Effect Estimate 2
0,10,0.8096934757736867,-0.6824601328866194,1.7743319564901847,-0.12427908576611918,1.3682838036306963,-0.8101037357703359,-0.696553524424394,-0.7757993936538696,-0.7432694435119629
0,1000,0.8096934757736867,-0.6824601328866194,0.7318565664164598,-0.9160986885125052,0.9300348287467067,-0.6177256277361486,-0.06475126292899865,0.7855232954025269,-0.6729977130889893
0,100000,0.8096934757736867,-0.6824601328866194,0.7386758323338718,-0.7925263928345305,0.8740893810946977,-0.5928871415680055,-0.003073798910716783,0.6381057500839233,-0.7600072622299194
0,10000000,0.8096934757736867,-0.6824601328866194,0.8070975834458188,-0.6863586140791986,0.8728430525953713,-0.5889160783892889,-2.9188511608162e-05,0.6381057500839233,-0.7600072622299194
1,10,-0.6684430500020209,-0.8831558120602008,-1.1154464375008062,-1.4079602173262777,0.22062999374106354,-0.25586242464376363,-0.08977193361904713,-0.7987279295921326,-1.8555792570114136
1,1000,-0.6684430500020209,-0.8831558120602008,-1.1324966521707915,-1.2641369604160815,0.2658533569106894,-0.46547160261996107,-0.0798706747931784,-0.8548063039779663,-1.490886926651001
1,100000,-0.6684430500020209,-0.8831558120602008,-1.6109054343105798,-1.504372813273363,0.20163069062744912,-0.3046135302572611,0.0021485994152694735,-0.8720986247062683,-1.5171725749969482
1,10000000,-0.6684430500020209,-0.8831558120602008,-1.3026153243229182,-1.2982858831458481,0.20387728462245897,-0.3111385981417171,0.000344873237563976,-0.8720986247062683,-1.5171725749969482
2,10,-0.5806972905059862,-0.7561626900859659,-0.1300039817381142,-0.17422027110348912,-0.018158873447428385,0.01096716499740289,0.0805287308903625,-0.18169623613357544,-0.24259053170681
2,1000,-0.5806972905059862,-0.7561626900859659,-0.12100580362316635,-0.0874466174977509,-0.04316434750651359,0.028883188137985273,0.010059417433806485,-0.1788790076971054,-0.23043778538703918
2,100000,-0.5806972905059862,-0.7561626900859659,-0.5788618256136331,-0.750682280145492,-0.05608759843501694,0.037214459037579105,-0.0014897469458283385,-0.12998594343662262,-0.21789084374904633
2,10000000,-0.5806972905059862,-0.7561626900859659,-0.583376447638461,-0.7599923937383554,-0.05871249811157757,0.038574514935708175,-0.00013580598522507816,-0.12998594343662262,-0.21789084374904633
3,10,-0.7689534703651255,-0.8611336434153593,-0.38851586909225067,-1.857316146240606,-0.3576350557288318,0.005927331312963357,0.26399388897705733,-0.6729444265365601,-0.6337697505950928
3,1000,-0.7689534703651255,-0.8611336434153593,-1.5701098326288827,-1.4934281037074164,0.054963480849551626,-0.06241719427558584,-0.06014480769971911,-0.9892487525939941,-0.5782974362373352
3,100000,-0.7689534703651255,-0.8611336434153593,-0.8478608697070882,-0.9267311772966853,0.10427638120087011,-0.12362709831762031,-0.0007827014758990963,-0.9067763090133667,-0.6130548119544983
3,10000000,-0.7689534703651255,-0.8611336434153593,-0.8039053676022526,-0.8903688069343417,0.10517721768071989,-0.12491205666157795,-0.00015869635047729795,-0.9067763090133667,-0.6130548119544983
4,10,-0.8750286335803767,-0.7086784489779832,-0.8064337871059235,-1.1440730048247603,-1.0874551465562423,-0.7190998780900378,0.17766523992284503,-1.3411262035369873,-0.6867958307266235
4,1000,-0.8750286335803767,-0.7086784489779832,-0.9989980202388797,-0.624186192796119,-0.7512124950899115,-0.8445794186765277,0.026533024365621688,-1.1821472644805908,-1.0048333406448364
4,100000,-0.8750286335803767,-0.7086784489779832,-0.9909350490451455,-0.6071180967527828,-0.7479785997315336,-0.8268890786675274,0.0031383141958975687,-1.173080563545227,-1.0478469133377075
4,10000000,-0.8750286335803767,-0.7086784489779832,-0.9140474313827351,-0.6737507960389233,-0.7489490218203003,-0.8238408240372064,0.0005231662684607862,-1.173080563545227,-1.0478469133377075
5,10,0.5818222185519802,0.779937445650623,-1.0042616352806575,-2.0333950314446874,-0.00620427402560338,0.0030407153146623338,-0.15176571620208767,0.785875678062439,2.8573458194732666
5,1000,0.5818222185519802,0.779937445650623,1.4030622408883786,2.0238870858991787,-0.13444039520811557,0.10788200074848718,-0.14537616297054803,0.6330548524856567,0.2905246317386627
5,100000,0.5818222185519802,0.779937445650623,0.3374116323248977,0.4728132660367813,-0.03076033823207605,0.02530712616631491,0.00648044617656454,0.7084456086158752,0.25842714309692383
5,10000000,0.5818222185519802,0.779937445650623,0.5694022336417313,0.7650933554973754,-0.042683772915416834,0.0358251460435329,3.0393787072729303e-05,0.7084456086158752,0.25842714309692383
6,10,-0.8976829753687751,-0.6022456222403341,1.2602255947707204,-1.9323210121968601,-0.479130437734735,-0.6497940946172429,-0.1338273005230987,-0.8421615958213806,-0.8304359316825867
6,1000,-0.8976829753687751,-0.6022456222403341,-1.189570068014221,-0.2785035185242399,-0.754988007908687,-0.7287390757410462,-0.014209586293837837,-0.8595272898674011,-1.0793129205703735
6,100000,-0.8976829753687751,-0.6022456222403341,-1.1584136002403007,-0.3196147858193011,-0.7868262962786311,-0.7236451931225325,0.0005057628649684894,-0.8489360809326172,-1.0985263586044312
6,10000000,-0.8976829753687751,-0.6022456222403341,-0.8973975366393263,-0.6016431381460415,-0.78534042469228,-0.7233101444284236,-0.0005346908565470657,-0.8489360809326172,-1.0985263586044312
7,10,-0.6963063556364282,-0.6489538757540236,-0.1664555237637525,0.24572902052032713,-0.21283351805403533,0.1951479537059414,0.12703317465246453,-0.22454924881458282,0.14436984062194824
7,1000,-0.6963063556364282,-0.6489538757540236,-0.9418395750365905,-0.834462052083582,-0.018777150538480416,0.02027807237000364,0.024354547735259552,-0.1596827507019043,-0.24200215935707092
7,100000,-0.6963063556364282,-0.6489538757540236,0.14468887389571772,0.19932478946306253,-0.02666935497756066,0.026432759408965268,-0.00014016325471598063,-0.1333363950252533,-0.2565435767173767
7,10000000,-0.6963063556364282,-0.6489538757540236,-0.7040383399959455,-0.6566954473457579,-0.02726103434314216,0.026985749297542962,3.9718597584981826e-05,-0.1333363950252533,-0.2565435767173767
8,10,0.640673894508048,0.6523835556815412,0.16891957775852207,1.9032993821067608,-0.6025365731343687,0.2877170220277017,-1.1557428003982462,0.4170384109020233,0.4597227871417999
8,1000,0.640673894508048,0.6523835556815412,1.1107184776607435,1.119948966749628,0.11367311575359851,-0.09340800404472897,0.07516128696453032,1.1614282131195068,0.9578059315681458
8,100000,0.640673894508048,0.6523835556815412,1.256296523212523,1.3859156376137551,0.06484687282278928,-0.05366947951482536,0.007959905376307252,1.2163984775543213,0.9750973582267761
8,10000000,0.640673894508048,0.6523835556815412,0.6129854700462747,0.6190225101279837,0.05728729959165908,-0.04774448608603897,0.00010745890590012138,1.2163984775543213,0.9750973582267761
9,10,0.8443327692902787,0.8883384048360901,0.9924054848541997,0.5641833726405067,0.080393311811941,0.6731100982840335,0.09564468235708773,0.7778022289276123,0.5906419157981873
