Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate
0,10,0.5348517198806163,-0.352041130135099,-0.02668700310549049,0.10297456383705139
0,1000,0.5348517198806163,-0.03109470214147141,0.3566208251906493,0.1768263727426529
0,100000,0.5348517198806163,0.45078870179487607,0.5392941582886578,0.24414177238941193
0,10000000,0.5348517198806163,0.5431224987802515,0.5344993776953724,0.24414177238941193
1,10,-0.768187004071361,0.026211941664215612,-0.3808286615725541,-0.702254056930542
1,1000,-0.768187004071361,-0.1370773742390018,-0.9076720289497762,-0.5695560574531555
1,100000,-0.768187004071361,0.2687139328258192,-0.7755438770926503,-0.5650808215141296
1,10000000,-0.768187004071361,0.06758790957735765,-0.7672604415979033,-0.5650808215141296
2,10,0.8141340591266695,0.4189338035769469,1.755544163561503,0.9755383729934692
2,1000,0.8141340591266695,0.41637815487662877,0.861678617963579,0.8410412669181824
2,100000,0.8141340591266695,0.8107598335449192,0.8131910400831458,0.8554226160049438
2,10000000,0.8141340591266695,0.8140482645642736,0.814848368300424,0.8554226160049438
3,10,0.7363451269665403,0.5429819718190745,1.0368591266979588,1.0102578401565552
3,1000,0.7363451269665403,0.6904299390889366,0.7382712516519417,0.8425166010856628
3,100000,0.7363451269665403,0.7336180185715997,0.7265193895286033,0.8253294229507446
3,10000000,0.7363451269665403,0.7365493231476576,0.7363516556735447,0.8253294229507446
4,10,0.7389335775731437,0.81071529601117,1.1379097931351025,1.24867844581604
4,1000,0.7389335775731437,0.8024277714581358,0.8296063793272798,0.8690481781959534
4,100000,0.7389335775731437,0.6843674260356751,0.6923426813796874,0.9799332618713379
4,10000000,0.7389335775731437,0.7385586644434531,0.7381787356457684,0.9799332618713379
5,10,-0.6096345847968898,0.0380918521230583,-2.4895212296106193,-0.34115567803382874
5,1000,-0.6096345847968898,-2.3999860325208253,-0.6550812195532345,-0.7634389996528625
5,100000,-0.6096345847968898,-0.6217804749269549,-0.6238868969173105,-0.7705585956573486
5,10000000,-0.6096345847968898,-0.6182718641520691,-0.6080970130536607,-0.7705585956573486
6,10,-0.8960897085493666,-1.1910979524254746,-1.4285045313088425,-1.310381531715393
6,1000,-0.8960897085493666,-0.8472784560396515,-0.992345131334422,-1.0122792720794678
6,100000,-0.8960897085493666,-0.9458075485891612,-0.9051754004816056,-1.0910805463790894
6,10000000,-0.8960897085493666,-0.889525658631297,-0.8958858595766562,-1.0910805463790894
7,10,0.8638374110878455,0.18500851654561135,-0.11067317879808074,1.0463279485702515
7,1000,0.8638374110878455,0.785041484371982,1.0199720092847226,1.08560311794281
7,100000,0.8638374110878455,0.8623263933326081,0.8686161882088036,1.0887433290481567
7,10000000,0.8638374110878455,0.8639279511435182,0.8611227011007236,1.0887433290481567
8,10,0.6704367081904768,0.015252988751818923,0.8146014814594867,0.48096880316734314
8,1000,0.6704367081904768,1.2916857122211711,0.43633076803092097,1.032787561416626
8,100000,0.6704367081904768,0.755124537712077,0.602433246633398,0.9839606285095215
8,10000000,0.6704367081904768,0.6838212708594928,0.6657196293962897,0.9839606285095215
9,10,0.7291039262277637,-1.1270910403258014,-0.634248749171239,0.9699946641921997
9,1000,0.7291039262277637,0.7001712024802703,0.6139007856946594,0.7866472601890564
9,100000,0.7291039262277637,0.764333030126519,0.7275463378661018,0.820489764213562
9,10000000,0.7291039262277637,0.7313482086086535,0.7312353399021941,0.820489764213562
10,10,0.7450104267317552,0.10538555909246781,0.5242294051354683,0.08683981746435165
10,1000,0.7450104267317552,-0.15697149164925422,0.7076357124312316,0.49874258041381836
10,100000,0.7450104267317552,-0.04273972979510955,0.7463026564872767,0.5708941221237183
10,10000000,0.7450104267317552,0.7503099734408267,0.7455460378053808,0.5708941221237183
11,10,0.7529336055293985,0.9563032503018154,0.8530016658019031,1.0345230102539062
11,1000,0.7529336055293985,0.6772698498104426,1.0009884324981264,0.9099108576774597
11,100000,0.7529336055293985,0.7713853178735881,0.7328687980647148,0.9028155207633972
11,10000000,0.7529336055293985,0.7527114584789505,0.7493024499911152,0.9028155207633972
