Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,Minimization,GRICA Effect Estimate
0,10,0.5348517198806163,0.18386632295984262,0.3415878208488765,0.4293552908173781,0.08253512531518936
0,1000,0.5348517198806163,0.23364622870527554,0.4128305766396042,0.24557647573760233,0.27076733112335205
0,100000,0.5348517198806163,0.6338801613403581,0.43373582415935213,0.6066710985530988,0.2820231318473816
0,10000000,0.5348517198806163,0.5334461889583424,0.4321175746768396,0.5339266297509138,0.2820231318473816
1,10,-0.768187004071361,-0.25250684546984253,-0.19364892367514452,-0.3364208428847133,-0.4065389931201935
1,1000,-0.768187004071361,-0.32217498774443215,-0.6749174697238535,-0.3231093363039554,-0.43193137645721436
1,100000,-0.768187004071361,-0.3555682494988032,-0.7214081469039781,-0.3482088683980775,-0.41895490884780884
1,10000000,-0.768187004071361,-0.35336422389936706,-0.7260224715747617,-0.34880508678725136,-0.41895490884780884
2,10,0.8141340591266695,0.984717234524128,0.8190550842600783,0.857926468712178,0.6254247426986694
2,1000,0.8141340591266695,0.9807452202657301,3.338069892370924,0.7522702444278826,1.0510696172714233
2,100000,0.8141340591266695,0.8037190348677203,3.4863021255766236,0.8106397995854054,1.0382888317108154
2,10000000,0.8141340591266695,0.8136200844463436,3.362373700988774,0.8130838203931511,1.0382888317108154
3,10,0.7363451269665403,1.6436427643860927,5.018325358272764,1.5824054853749236,2.5473268032073975
3,1000,0.7363451269665403,-0.11410518132207516,11.010333486180388,0.5289917341227512,1.292996883392334
3,100000,0.7363451269665403,0.7292631588880345,9.895383746176744,0.7300894275152567,1.170389175415039
3,10000000,0.7363451269665403,0.730686073039317,8.696464565709059,0.7321013213059179,1.170389175415039
4,10,0.7389335775731437,0.7104217521366596,0.8110501633933589,0.777521399455444,0.5581146478652954
4,1000,0.7389335775731437,0.7749002619914692,0.7742088783992518,0.7476834155743349,0.6079270839691162
4,100000,0.7389335775731437,0.7891826569743892,0.7877751200771439,0.3765869032144491,0.7027401924133301
4,10000000,0.7389335775731437,0.7383029264100522,0.7889842481051598,0.7387458908469087,0.7027401924133301
5,10,-0.6096345847968898,-0.37205146770259545,0.44869564438445764,-0.49859364375716975,-0.7290671467781067
5,1000,-0.6096345847968898,-0.6059969962186466,-0.7687344915647699,-0.6045199284048587,-0.5831959247589111
5,100000,-0.6096345847968898,-0.5767894514356526,-0.7213255587928737,-0.609713935625201,-0.5835230350494385
5,10000000,-0.6096345847968898,-0.6096317889066727,-0.7273043254475895,-0.6090413904644136,-0.5835230350494385
6,10,-0.8960897085493666,-0.860859645538463,-0.9978397008673927,-0.936926952346518,-1.063248872756958
6,1000,-0.8960897085493666,-1.0894026790102722,-1.038368362662504,-1.1323378227394056,-1.1805098056793213
6,100000,-0.8960897085493666,-0.8911513452780451,-1.0466010657065978,-0.8972116133526926,-1.0980161428451538
6,10000000,-0.8960897085493666,-0.8755676315571969,-1.0427970123966048,-0.8958143927294144,-1.0980161428451538
7,10,0.8638374110878455,1.9216239314457988,2.5403838727896804,1.8882291922083014,2.045261859893799
7,1000,0.8638374110878455,1.1664792304515412,1.1454632614807028,1.1641772438035258,1.154213547706604
7,100000,0.8638374110878455,1.1518131185395608,1.178367685344387,1.148150100328066,1.090328335762024
7,10000000,0.8638374110878455,0.9127510318161036,1.1678759809522192,0.8595593430935196,1.090328335762024
8,10,0.6704367081904768,1.1050199719023603,1.1478948148946064,1.1585623680482058,1.2968556880950928
8,1000,0.6704367081904768,1.0599530153858294,0.861724362166696,1.0792488179936286,1.0604782104492188
8,100000,0.6704367081904768,0.6225417772431221,0.8216872249645947,0.6349231334298409,1.15233314037323
8,10000000,0.6704367081904768,0.6716472608047478,0.8212711054555301,0.6709259735930783,1.15233314037323
