,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
76,19,10,-0.5726071646461707,0.5965524497120132,0.7470278748893843,-3.9676309642136838,0.0,-0.10686500370502472,2.041817997650517,2.304607977357379,5.929062731279986,1.0,0.8133711725890481
77,19,1000,-0.5726071646461707,-0.5280862801448232,-0.8460534702919338,-1.2571748227187691,-0.4692867412052537,-0.3463525176048279,0.07775118309750481,0.4775460778852338,1.1955275804060383,0.1804385795709724,0.39513066026889765
78,19,100000,-0.5726071646461707,-0.31416379450331156,-0.1902148016675803,-1.766465089584065,-22.674460652764985,-0.35231223702430725,0.45134498151548313,0.6678092531637826,2.0849510775430327,38.59863245297697,0.3847226182683019
79,19,10000000,-0.5726071646461707,-0.41224439629930854,-0.1919659939193052,-1.8061607056154363,-4.586159577349405,-0.35231223702430725,0.28005721592036764,0.6647509745395412,2.1542754214951385,7.009259856507936,0.3847226182683019
80,20,10,-0.6898097522700012,-0.21577233244123645,-0.35488966627901214,-0.5139386814258915,-0.5489544424847403,-0.6975735425949097,0.6872002291484274,0.48552529866219785,0.2549559067052321,0.2041944308872689,0.01125497327249967
81,20,1000,-0.6898097522700012,-0.7980225043253147,-0.8053135447294827,-1.221118952781912,0.0,-0.36798158288002014,0.15687332876812907,0.16744296826680946,0.7702257017438467,1.0,0.4665462735644436
82,20,100000,-0.6898097522700012,-0.7331797862403874,-0.8289881708056388,-1.2188560428697264,-0.9366951612551039,-0.4447031021118164,0.06287245697478999,0.20176348344979797,0.7669452176614764,0.35790362222723154,0.35532499990264943
83,20,10000000,-0.6898097522700012,-0.6946134958913485,-0.8231405511455862,-1.228036054393927,-0.8572340560811857,-0.4447031021118164,0.006963867364210626,0.1932863350174809,0.7802532514983299,0.24271083912662972,0.35532499990264943
84,21,10,0.6997907888419928,0.7189411480323544,0.806141898066528,1.3214593895411433,0.0,0.9745854139328003,0.027365834897672078,0.15197557744440177,0.8883635089394102,1.0,0.39268111194423566
85,21,1000,0.6997907888419928,0.8262184291364301,0.9187346450176281,0.9607730463521172,3.0253170391350066,1.0700668096542358,0.1806649105851316,0.31287044594848357,0.3729432591446302,3.3231735646896308,0.5291238849041903
