,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
0,0,10,0.8096934757736867,-0.6824601328866194,1.8872810346239242,0.3701132849091169,0.5428970394562431,-2.887942678563239,3.231665029791605,0.9954291222154672,0.008692144860259484,0.9892648945306693,0.0010873977846696822,1.001593349900265,1.7590560976008545,0.0,1.0,-2.4009713162473947,2.518112195201709,0.3691700414917197,0.4522374,0.4414708640202384,-0.47985873,0.2968692189632011
1,0,1000,0.8096934757736867,-0.6824601328866194,0.13499651112263375,0.9161916256324121,0.13152897120353255,-0.5879639382126574,0.13846405104173495,0.052385243433405164,0.8639521018627837,0.06701131689032233,-0.656691004726777,0.037759169976488,1.242499196100422,0.0,1.0,-1.6959123329644235,1.4849983922008438,0.38390172323957444,0.51788145,0.36039814012035787,-0.40442225,0.407405306358791
2,0,100000,0.8096934757736867,-0.6824601328866194,0.0802315857723642,0.7658701013480438,0.05412341304067977,-0.7550327786064235,0.10633975850404861,0.10602020773910001,0.8755081275214669,0.08128341615312182,-0.593223693751371,0.1307569993250782,0.47115759702210724,0.4575327014811978,0.43493097675757925,-0.3361906325326089,0.5073842172866353,0.34611912920215016,0.5489068,0.32208073850835167,-0.42984238,0.37015751989594864
3,0,10000000,0.8096934757736867,-0.6824601328866194,0.0014932170924239858,0.8110038553300278,0.0016183649684086445,-0.6815264801873702,0.0013680692164393274,0.10867160439788257,0.873830041959281,0.07921092129871733,-0.5881903536054515,0.1381322874970478,0.4660413446315388,0.4618276804415765,0.42962652626009346,-0.33955383311390197,0.5024561630029841,0.34611912920215016,0.5489068,0.32208073850835167,-0.42984238,0.37015751989594864
4,1,10,-0.6684430500020209,-0.8831558120602008,1.9210434598604484,-2.8110223255653004,3.2053280762763587,-1.445513085528976,0.6367588434445379,0.7665669743743595,0.1728089446734119,1.258524558932716,-0.6406329333978924,0.274609389816003,1.0,0.0,1.0,0.0,1.0,0.6917652766900164,-1.5258282,1.2826600445577645,-0.79407144,0.10087050882226835
5,1,1000,-0.6684430500020209,-0.8831558120602008,0.5393994079007113,-1.1512584065528655,0.7222984165208763,-1.1980012116865975,0.3565003992805463,0.9337810267663309,0.23806104750431192,1.3561426025801184,-0.4314927515508254,0.5114194509525433,1.0,0.0,1.0,0.0,1.0,0.3923534822202977,-1.0371413,0.5515776895076762,-1.0890453,0.23312927493291924
6,1,100000,-0.6684430500020209,-0.8831558120602008,0.01484690975286575,-0.6822872850876327,0.020711166172750213,-0.8910888945589451,0.008982653332981289,0.9778571437041521,0.2025703270887231,1.303047996516847,-0.30674978392363667,0.6526662908914572,0.44568186561210044,-1.0885739259845268,0.6285215711065226,-1.1152863934225863,0.2628421601176783,0.4467527482464043,-1.0984511,0.6432980154994561,-1.104128,0.2502074809933526
7,1,10000000,-0.6684430500020209,-0.8831558120602008,0.015200157284321718,-0.6820027099067513,0.020285437786643767,-0.8920888242784966,0.01011487678199967,0.9759156638086126,0.20435466428617652,1.3057173895151708,-0.3125365323722666,0.6461139381020544,0.41600731517462547,-1.096026518527737,0.6396707520923784,-1.0530254260569574,0.19234387825687246,0.4467527482464043,-1.0984511,0.6432980154994561,-1.104128,0.2502074809933526
8,2,10,-0.5806972905059862,-0.7561626900859659,0.9832626854380782,0.5386173481270132,1.9275354938503213,-0.7856453803839423,0.03898987702583493,1.4681444622402742,0.54973482840539,1.9466805466345172,-0.007857756962302035,0.9896083778460311,1.0,0.0,1.0,0.0,1.0,0.9850495716499045,0.38597763,1.6646795708492872,-0.5252158,0.3054195724505218
9,2,1000,-0.5806972905059862,-0.7561626900859659,0.3326819572553402,-0.34242739791906024,0.41031686643364784,-0.5633056281135522,0.25504704807703266,1.0145138651875891,0.036804009740644225,1.0633789933970164,-0.025975143454443465,0.9656487369781621,0.7508613552270064,-0.8720463090519508,0.5017227104540127,0.0,1.0,0.5085894306595142,-0.308868,0.4681084344280618,-0.34097612,0.5490704268909666
