,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,10,-0.5561403121650581,-0.6216329525132418,-0.6172002153289761,-1.1401057324146382,-1.2395948180602123,-1.0150717496871948,0.11776279999056423,0.10979226254290277,1.0500325322151143,1.2289245914119427,0.8252080050365589
1,0,1000,-0.5561403121650581,-0.20208530907311345,-0.09116831116302995,-1.1595763236861327,-1.0588475232228927,-0.9881702661514282,0.6366289142277891,0.8360695868132432,1.0850427460866738,0.9039215465262568,0.7768362489395428
2,0,100000,-0.5561403121650581,-0.31721966099311977,-0.5287521569454445,-1.105724507934926,-1.1944501181323577,-1.0107544660568237,0.42960498627013494,0.04924684404371137,0.9882113987211839,1.1477495732728942,0.8174450654762816
3,0,10000000,-0.5561403121650581,-0.783036324673413,-0.7940935324118109,-1.1118089488047127,-0.6976842562961258,-1.0107544660568237,0.40798339473908507,0.4278654415832567,0.9991518767564839,0.25451121063322346,0.8174450654762816
4,1,10,0.8756511157694503,-0.12861075037171893,-0.9345143356328326,19.04487383613576,0.0,0.6680033802986145,1.1468744207088761,2.0672222290399964,20.749385677880042,1.0,0.23713523768923886
5,1,1000,0.8756511157694503,0.2511069041877938,-0.21344068428065383,-18.13986395456784,1.3478906223622655,1.209106206893921,0.7132340727195423,1.243750827740452,21.715857751894735,0.5393009819645463,0.38080816105790904
6,1,100000,0.8756511157694503,0.8378699366062062,0.01829251015994341,-22.793107414480392,-1.3204327315726574,1.1760848760604858,0.04314638385408221,0.9791098191614026,27.029895930015098,2.507943869188552,0.34309755892566757
7,1,10000000,0.8756511157694503,-0.050805556505288715,-0.3780832556313236,-21.13723991975714,0.25409541696037125,1.1760848760604858,1.058020318355496,1.4317738524196306,25.13888309978737,0.7098211692026533,0.34309755892566757
8,2,10,0.5707938494671746,-0.2648764032585146,0.7991640072168182,2.7113760183016455,-6.570303078454744,1.4897881746292114,1.4640491545341139,0.4000921838292808,3.7501843631157983,12.510816180987232,1.610028429738514
9,2,1000,0.5707938494671746,0.553376150015963,0.15706010092558395,0.06409189479040885,0.485328790993233,0.6564362645149231,0.03051486884007375,0.7248391848086719,0.887714461446567,0.14973016712377266,0.15004088626339282
10,2,100000,0.5707938494671746,0.5550702998165431,0.1299858320717472,0.08298256922508054,0.3692168031833729,0.6467950940132141,0.027546809877697764,0.7722718417637356,0.8546190199797297,0.3531520994347961,0.13315007619122957
11,2,10000000,0.5707938494671746,0.5825700607812373,0.14057571532468735,0.08539824632260189,0.4175705781638432,0.6467950940132141,0.020631286277971592,0.7537189381842285,0.8503868841573546,0.2684388968913426,0.13315007619122957
12,3,10,0.6609442574235832,-3.381747746733103,-1.5481835328409694,0.9311115019522962,0.0,1.054352879524231,6.116540023988472,3.3423813966943596,0.4087595005089352,1.0,0.5952220897329344
13,3,1000,0.6609442574235832,0.5730733317420649,0.6416139317513204,0.6710125742907049,0.657939306792459,0.6747735142707825,0.1329475590332635,0.02924652942384889,0.015233231477596738,0.004546450925888534,0.020923484381431625
14,3,100000,0.6609442574235832,0.3523559855313337,0.48232546801308956,0.6694431469748859,-19.40173173612511,0.6842651963233948,0.4668900114135991,0.2702478876308947,0.012858708515650212,30.35456586271694,0.03528427494130681
15,3,10000000,0.6609442574235832,0.6588107989742543,0.6636255287701072,0.6694111272890546,0.9741983990413585,0.6842651963233948,0.0032278946754833553,0.004056728410011133,0.01281026315059606,0.47394941116345657,0.03528427494130681
16,4,10,-0.7575657068391233,0.66155263583681,-0.14082868118413056,-1.2576979619410704,-0.6556846894265178,-0.42058342695236206,1.873261064834997,0.8141036745555366,0.6601833353686313,0.13448472718979732,0.4448225108984808
17,4,1000,-0.7575657068391233,5.447442132544017,2.1759481542084975,-1.1334250891066406,0.0,-0.8431697487831116,8.190719014028492,3.8722896701428726,0.49614096688161585,1.0,0.11299883451847852
18,4,100000,-0.7575657068391233,-0.8043541544735023,-0.7754660815176533,-1.1491355266627674,-0.7692338804041282,-0.8675961494445801,0.06176157026642583,0.023628808058402954,0.5168790195868752,0.015402193446281208,0.1452421111622769
19,4,10000000,-0.7575657068391233,-0.7475361997646054,-0.7380474404115306,-1.1153988495682332,-0.6756186980478444,-0.8675961494445801,0.013239124981468772,0.025764453500714744,0.47234601500394924,0.10817148671261223,0.1452421111622769
20,5,10,-0.7094701158399517,0.6888821681100865,0.9150390490535247,0.7323740628211548,0.2061364952957937,-0.13537059724330902,1.970981233359645,2.2897499536963544,2.0322831736951836,1.2905499339485862,0.8091947860509362
21,5,1000,-0.7094701158399517,0.018093619046151692,-0.10513116779381614,-0.34321466213510693,-3.035078141775463,-0.24706795811653137,1.0255030037801245,0.8518173416376391,0.5162380282518733,3.2779506479736518,0.6517570612202261
22,5,100000,-0.7094701158399517,-1.0046662214636584,-0.7297519663468238,-0.4770619754845143,-0.5011097416845813,-0.1684006154537201,0.41607968966278425,0.02858732179700082,0.3275798869699904,0.2936844970681951,0.7626388882435897
23,5,10000000,-0.7094701158399517,-0.12343827001115533,-0.11236348065701955,-0.4704530337726596,0.0,-0.1684006154537201,0.8260134327645146,0.841623377576671,0.3368952077485552,1.0,0.7626388882435897
24,6,10,0.8206883633844835,0.6960266823389525,1.0601098174813703,1.6265913318072813,0.0,1.1111315488815308,0.15189892608131006,0.29173248309446365,0.9819841542522776,1.0,0.3539019175308787
