,Seed,Sample Size,True Effect,Cumulant Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,10,0.5348517198806163,-1.9763087554239334,-12.102295278352718,0.33890506892138694,0.11622314155101776,4.695059176148977,23.62738405525565,0.3663569615200385,0.7827002564805068
1,0,1000,0.5348517198806163,-0.15122403918226746,0.4923422497807086,0.27554867328927224,0.3795001804828644,1.2827401194783894,0.07947898178096198,0.4848129620845621,0.29045721201462676
2,0,100000,0.5348517198806163,0.49647611868239666,0.5413310013996041,0.0,0.38321489095687866,0.07174998185812213,0.012114164128394379,1.0,0.2835119029954402
3,0,10000000,0.5348517198806163,0.5366764081197055,0.535365561774896,-0.767541043787772,0.38321489095687866,0.0034115777724272782,0.0009607184106922472,2.4350538948609795,0.2835119029954402
4,1,10,-0.768187004071361,-0.2573198043404015,-0.4533546836928806,-0.30640725356180104,0.1697983741760254,0.6650297349777898,0.40983812367285755,0.6011293448888687,1.2210378114653082
5,1,1000,-0.768187004071361,0.27168868825600145,-0.6817686510626665,-0.6030618443510524,-0.6689072251319885,1.3536751947326133,0.11249650482327951,0.21495437809433346,0.12923907643997298
6,1,100000,-0.768187004071361,-0.13050102036890482,-0.7593899111191328,-0.8526573914563507,-0.6741283535957336,0.8301181617532521,0.011451759669981324,0.10996070870413056,0.12244238704523791
7,1,10000000,-0.768187004071361,-0.702344645975516,-0.7676455496440151,-0.8585982323573856,-0.6741283535957336,0.08571136682459221,0.0007048471589289983,0.11769429553851952,0.12244238704523791
8,2,10,0.8141340591266695,0.7880259092039916,1.1608048150406016,0.0,0.008677765727043152,0.03206861281627788,0.42581532123322496,1.0,0.9893411095755509
9,2,1000,0.8141340591266695,1.0911622266694674,0.906447942597818,0.9830108629911225,1.5599766969680786,0.3402734039157741,0.11338904500589825,0.20743119879496139,0.9161177197788319
10,2,100000,0.8141340591266695,0.7161692970255872,0.7756172411808948,0.7526977630627758,1.5400582551956177,0.12033001322432102,0.047310166567766584,0.07546213719371606,0.8916519189083614
11,2,10000000,0.8141340591266695,0.8174876590715892,0.8152176134834336,0.8177991410346691,1.5400582551956177,0.004119223249936413,0.0013309286653925834,0.004501816214311447,0.8916519189083614
12,3,10,0.7363451269665403,3.0733295538550256,0.004121104631983439,0.0,3.302614450454712,3.173762331416472,0.9944032974741602,1.0,3.485144709329737
13,3,1000,0.7363451269665403,-1.3514830563171396,0.9050343364126875,0.0,1.3926695585250854,2.835393495282208,0.2290898700465121,1.0,0.8913271881927843
14,3,100000,0.7363451269665403,0.493567841427564,0.7402496140636974,0.7392113844752407,1.1591997146606445,0.32970583582066426,0.005302523170407961,0.0038925463124992498,0.5742614057026534
15,3,10000000,0.7363451269665403,0.7104986165217814,0.7334893477200801,0.7201321816663863,1.1591997146606445,0.035101081677876594,0.0038783162159637076,0.022018133489855724,0.5742614057026534
16,4,10,0.7389335775731437,0.6600799281003809,0.7194361200418866,0.6884267294813471,0.7085763216018677,0.10671277076315765,0.026385940662342042,0.06835099882410903,0.0410825233723678
17,4,1000,0.7389335775731437,0.7455272688598411,0.7741559275614074,1.6646440499913224,0.7894600629806519,0.008923253032231737,0.04766646293695752,1.2527654724507993,0.06837757403507186
18,4,100000,0.7389335775731437,0.7388541358334314,0.7452857853320255,1.5068752856903653,0.7839395999908447,0.00010750863423098574,0.008596452985319933,1.0392567497600371,0.06090672258461022
19,4,10000000,0.7389335775731437,0.7386615114029209,0.738363426391041,0.7387401226816543,0.7839395999908447,0.0003681875861106947,0.0007715865125187769,0.0002618028160592214,0.06090672258461022
20,5,10,-0.6096345847968898,-0.8616589301734535,13.455153066380912,-0.8775598650894004,-0.7664394378662109,0.4134023096155707,23.07084932831317,0.4394850406687057,0.2572112163248798
21,5,1000,-0.6096345847968898,23.867079881124845,-0.40507487957722144,0.0,-0.5340492725372314,40.14981281627349,0.33554478423795614,1.0,0.12398461987657886
22,5,100000,-0.6096345847968898,-0.6115572724623081,-0.6003519043099881,-1.0400904134327305,-0.6230520009994507,0.0031538362707208135,0.01522663037562807,0.7060882688918549,0.02200894853600065
23,5,10000000,-0.6096345847968898,-0.6094172219918649,-0.6092966942567315,-1.6810517235611302,-0.6230520009994507,0.00035654605307104166,0.0005542509375036332,1.757474338699471,0.02200894853600065
24,6,10,-0.8960897085493666,-0.9824536640605808,-0.9521836678518264,0.0,-1.042981505393982,0.09637869365894657,0.06259859784939095,1.0,0.16392532515791397
25,6,1000,-0.8960897085493666,-0.9313323131688083,-1.0096141156741298,-2.3798981324265087,-1.0487748384475708,0.039329326386857016,0.12668866302297122,1.655870399716121,0.17039045135936023
26,6,100000,-0.8960897085493666,-0.8970500385190461,-0.8933136068082796,-1.797414440857001,-1.0564682483673096,0.0010716895423718887,0.0030980176589474376,1.0058420755291815,0.17897598676540039
27,6,10000000,-0.8960897085493666,-0.896029661980898,-0.896334288832497,-1.804897629805024,-1.0564682483673096,6.700955037850297e-05,0.0002729417387532384,1.014193012803238,0.17897598676540039
28,7,10,0.8638374110878455,3.536284506000415,4.024891388422676,3.483650432815314,1.9527788162231445,3.0936922395466877,3.659315904545115,3.0327617073545037,1.2605860676536065
29,7,1000,0.8638374110878455,1.0148328229948127,1.226308221005554,0.9704435060114404,0.9271060228347778,0.17479610163770987,0.41960536238091695,0.1234099074145723,0.07324134256613991
30,7,100000,0.8638374110878455,0.8361752467056126,0.9029270521224794,0.8683218052705729,0.8295261263847351,0.032022419991509114,0.045251155521740596,0.005191247942225743,0.039719609573173734
