,Seed,Sample Size,True Effect,Cumulant Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,10,-0.5561403121650581,0.7304723574988339,-0.5029642826113723,1.584866209734169,0.18447259068489075,2.313467737404433,0.09561621121596307,3.849759629119985,1.3317015268444354
1,0,1000,-0.5561403121650581,-0.28801858987980195,-0.5345888707369534,-0.7718619942490184,-0.4998251795768738,0.4821116477628756,0.03875180589625811,0.38789074872877716,0.10126065555102294
2,0,100000,-0.5561403121650581,-0.5841691251984387,-0.518232810670093,-1.7241606082864647,-0.5539593696594238,0.05039881558713879,0.06816175822139375,2.1002259152448337,0.00392156881622886
3,0,10000000,-0.5561403121650581,-0.5534583880520482,-0.5157333281410932,-1.7850306289113622,-0.5539593696594238,0.0048223875420380655,0.07265609620467944,2.2096767485928606,0.00392156881622886
4,1,10,0.8756511157694503,1.3372433768544867,-1.2552075887253067,0.0,1.068378210067749,0.5271417494619727,2.4334562774151594,1.0,0.22009575597804837
5,1,1000,0.8756511157694503,0.26522477231405117,-0.5535404344774646,0.0,0.8452207446098328,0.6971113637181934,1.6321472382194806,1.0,0.034751707171500425
6,1,100000,0.8756511157694503,-3.5632593728140676,-2.512994611934904,0.0,0.9047244191169739,5.069268352022789,3.869858287940044,1.0,0.03320192577151727
7,1,10000000,0.8756511157694503,0.881342630766644,-1.6102133595177024,-0.4266507246898648,0.9047244191169739,0.006499751892844256,2.8388754727992085,1.4872382584871822,0.03320192577151727
8,2,10,0.5707938494671746,0.9540257278710321,-9.306659415172025,0.0,1.7133197784423828,0.6714015555030899,17.30476471296882,1.0,2.001643728364864
9,2,1000,0.5707938494671746,1.0631425379765331,-10.135756329410468,-0.24508149178549107,0.5325866341590881,0.8625683142328125,18.75729773344966,1.4293695386070997,0.06693697793652154
10,2,100000,0.5707938494671746,0.5365972657213228,19.44546160901054,-0.7131212407957631,0.6139915585517883,0.05991056802341799,33.06739863641228,2.2493499035798097,0.07568005353410516
11,2,10000000,0.5707938494671746,0.5461801916362307,18.00308480772983,-0.43169932912352676,0.6139915585517883,0.04312179932197995,30.540432372450006,1.7563139118028515,0.07568005353410516
12,3,10,0.6609442574235832,0.837779038479151,0.811721709467441,1.8756774288306577,0.8220549821853638,0.2675487063688015,0.22812430904778738,1.8378753696146897,0.2437584152554768
13,3,1000,0.6609442574235832,0.04182621749174815,0.571543391018955,0.04182621749174815,0.49529099464416504,0.9367174810553762,0.13526233929790138,0.9367174810553762,0.25063121574752556
14,3,100000,0.6609442574235832,-0.32905050303769307,0.7427451578116564,0.0,0.7444911003112793,1.497849098985079,0.12376369031019355,1.0,0.12640527843205535
15,3,10000000,0.6609442574235832,0.6460696931626712,0.7493260892645626,0.28536561410541544,0.7444911003112793,0.022505020799930033,0.1337205533572517,0.5682455654917181,0.12640527843205535
16,4,10,-0.7575657068391233,-1.4585956656897925,-1.6219247674882797,0.21723878581666872,-1.1604679822921753,0.9253718225652735,1.1409690972623605,1.2867590017017514,0.5318380594788623
17,4,1000,-0.7575657068391233,2.6693090225035356,-1.6900427356439225,-1.837753145680962,-1.0966945886611938,4.523534656341552,1.23088600815298,1.4258663362004946,0.4476560630457471
18,4,100000,-0.7575657068391233,-1.5569027760399736,-2.3168757683877534,0.0,-1.0933661460876465,1.0551389298441378,2.058316588873479,1.0,0.44326246055886187
19,4,10000000,-0.7575657068391233,-0.70971009134823,-2.8302651695349073,-1.3739991758161643,-1.0933661460876465,0.0631702505259466,2.7359995891893543,0.8137029744245629,0.44326246055886187
20,5,10,-0.7094701158399517,-0.6729006771968501,3.151586849865448,-1.2796137379411332,-0.6587693691253662,0.051544720244920406,5.442169979399682,0.8036189395041403,0.0714628362528845
21,5,1000,-0.7094701158399517,-0.10360908975637925,-0.7340184006537261,0.0,-0.6131709814071655,0.8539627146469516,0.03460087220828379,1.0,0.13573388403932454
22,5,100000,-0.7094701158399517,-0.7388673893476055,-0.6987352258016046,-0.9199130883661687,-0.5280898809432983,0.041435534564905556,0.015130855829829924,0.29661992496621314,0.25565591960404804
23,5,10000000,-0.7094701158399517,0.16226842288583093,-0.709564541077535,-0.7112850389927605,-0.5280898809432983,1.228717770154024,0.000133092621486254,0.0025581389720131225,0.25565591960404804
24,6,10,0.8206883633844835,-5.174807082433865,0.7352208185329804,-5.174807082433865,0.6277539134025574,7.3054471262309395,0.10414129000079717,7.3054471262309395,0.23508856539195067
25,6,1000,0.8206883633844835,0.85974750523387,0.638879326927836,0.0,0.6904416084289551,0.047593146914266346,0.22153236790987854,1.0,0.1587042789523619
26,6,100000,0.8206883633844835,0.1059741503309758,0.8201145809603924,-0.4995189009533687,0.6257292628288269,0.8708716303787434,0.0006991477516811183,1.608658442399956,0.2375555804783848
27,6,10000000,0.8206883633844835,0.7049452034829725,0.8105805700861235,0.0,0.6257292628288269,0.1410318033805075,0.012316238110987556,1.0,0.2375555804783848
28,7,10,0.6050335080173588,-0.9493243883511723,-0.37303155459151416,0.0,0.5580238103866577,2.5690443186560428,1.6165469344233603,1.0,0.07769767625721702
29,7,1000,0.6050335080173588,0.05347216628953261,0.588778904253872,0.05347216628953261,0.20482586324214935,0.911621148943046,0.026865625701875007,0.911621148943046,0.6614636040351789
30,7,100000,0.6050335080173588,0.6205564937134765,-0.10512487741771007,0.0,0.18693959712982178,0.025656406612891924,1.1737505047649262,1.0,0.6910260429337107
