,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,0,10,-0.5561403121650581,-0.735248150069015,-1.2683800016347744,-1.1734538097635183,-1.2743264436721802,0.3220551252734923,1.280683442451712,1.1099959562277633,1.1956648008389668
1,1,0,1000,-0.5561403121650581,0.163481299948174,-0.5520096403448495,-1.7363540267976785,-1.0273350477218628,1.2939569320406576,0.0074273914871013,2.122150991065618,0.9174578606991782
2,2,0,100000,-0.5561403121650581,0.3483588100030496,-0.4010317674269301,-1.8124075124066437,-1.018129825592041,1.626386547392845,0.2789018191008117,2.2589033248658574,0.7732960261159969
3,3,0,10000000,-0.5561403121650581,-0.7779462589873208,-0.4130270157213339,0.0,-1.018129825592041,0.3988309100607554,0.2573330746095048,1.0,0.7480747250625761
4,4,1,10,0.8756511157694503,-0.1979817030553197,3.6013996324554625,,0.7003985643386841,1.2260965577384662,3.11282480841796,,0.19711090415864246
5,5,1,1000,0.8756511157694503,0.211784514417757,-3.8083869534361767,0.0,0.8227922916412354,0.7581405303964488,5.34920584791316,1.0,0.047578346275392897
6,6,1,100000,0.8756511157694503,-0.3678886588303544,305.3908933645013,-0.3415616062369964,0.8345144987106323,1.420131548061906,347.7586412724991,1.3900658608044598,0.0051117671844547454
7,7,1,10000000,0.8756511157694503,0.5413372730171621,71.60994519415325,0.6854873820201942,0.8345144987106323,0.3817888617186545,80.77908290704148,0.2171683794203309,0.05296470970345397
8,8,2,10,0.5707938494671746,1.8504715816510735,1.0201642309689811,0.0,1.52987802028656,2.2419262810530536,0.7872726412894702,1.0,1.6485715808541452
9,9,2,1000,0.5707938494671746,0.5680054319013823,3.790584381210376,-0.5001067945220272,0.5146898031234741,0.004885156993887,5.640899135035908,1.876160097010274,0.09668302358378573
10,10,2,100000,0.5707938494671746,0.5556867356588213,-173.3784197728845,-0.5468645743227043,0.5245873928070068,0.0264668475710722,304.749628582596,1.9580772021863797,0.07092503945950726
11,11,2,10000000,0.5707938494671746,0.5707316731365158,-27.105962199779775,-0.4634787494706142,0.5245873928070068,0.0001089295736399,48.48818198563752,1.8119897400843803,0.07225540273365139
12,12,3,10,0.6609442574235832,0.6005752158411917,1.1334190424483277,0.0906734065744185,1.1884409189224243,0.0913375687954611,0.7148481580980691,0.8628123241014738,0.6527695012621241
13,13,3,1000,0.6609442574235832,-0.6047517424043559,0.6597771753767512,0.8338091711136594,0.6506441831588745,1.914981461162443,0.0017657798425867,0.2615423490687675,0.05177659747645499
14,14,3,100000,0.6609442574235832,-0.23486771420785,0.670400238217365,0.7853021024108101,0.7194478511810303,1.3553517737235274,0.0143067750231192,0.188151789792356,0.06528689058731996
15,15,3,10000000,0.6609442574235832,0.6588100371259719,0.6710358197276185,0.9740212550072836,0.7194478511810303,0.0032290473419509,0.0152684015190222,0.4736813945613221,0.12649393916223997
16,16,4,10,-0.7575657068391233,0.1441141813439271,-1.042621272534955,-1.0299975552648342,-0.3754495978355407,1.1902332431931628,0.3762783387928173,0.3596148109216941,0.5014366619793106
17,17,4,1000,-0.7575657068391233,-0.8100697807984552,-0.5588964633650493,-1.468381666252593,-0.9486185312271118,0.069306297111046,0.2622468806078935,0.9382895146868344,0.2577263443665483
18,18,4,100000,-0.7575657068391233,0.0036774120942164,-0.5075600148211056,-1.199174766643357,-0.9966631531715392,1.0048542483655447,0.3300118917224284,0.5829316926802415,0.3187550265947968
19,19,4,10000000,-0.7575657068391233,-0.7552385397767067,-0.6016643318346893,-0.7136046959878434,-0.9966631531715392,0.0030719012772191,0.205792545249862,0.0580293041968641,0.2996109671072436
20,20,5,10,-0.7094701158399517,-0.0722124555718363,0.3327613927144021,0.0,-0.0713337361812591,0.8982163533606444,1.469028060921835,1.0,0.783257944251512
21,21,5,1000,-0.7094701158399517,-2.8026105794341656,-0.7659164636231138,0.0,-0.2840159833431244,2.9502870055578243,0.0795612761170842,1.0,0.5444874950262717
22,22,5,100000,-0.7094701158399517,-0.9252656630201748,-0.6890164375138892,0.0,-0.502053439617157,0.3041643930621938,0.0288295135614656,1.0,0.3115809154689227
23,23,5,10000000,-0.7094701158399517,0.1345683830544139,-0.6691669305434329,0.0,-0.502053439617157,1.1896744909334152,0.0568074460032798,1.0,0.307558041570921
24,24,6,10,0.8206883633844835,-0.7165340452275862,5.748573273105066,-0.7165340452275862,1.240840196609497,1.8730890764341177,6.004575097663377,1.8730890764341177,0.5404514860263059
25,25,6,1000,0.8206883633844835,0.0023494770666928,0.7052425323312087,-9.011992966123394,0.6137374043464661,0.9971371873033466,0.1406695113565167,11.981017117092197,0.2809234949130634
26,26,6,100000,0.8206883633844835,0.821127050272807,0.8060523091117702,0.0,0.7084871530532837,0.0005345352851286,0.0178338757142295,1.0,0.19729307793330086
27,27,6,10000000,0.8206883633844835,0.8218012781419104,0.8072201306162324,1.0265032798436309,0.7084871530532837,0.001356074738086,0.0164108976916751,0.2507832761395267,0.1997486178553551
28,28,7,10,0.6050335080173588,4.532597851934627,0.1406402286787776,0.0,0.2631658017635345,6.491482359030905,0.7675496863972985,1.0,0.5539744769958969
29,29,7,1000,0.6050335080173588,0.0332707598403095,0.4318567540576688,0.7082990715129377,-0.1674220263957977,0.9450100541549594,0.2862267158180624,0.1706774288154238,1.440530771683823
30,30,7,100000,0.6050335080173588,0.5710209679555399,1.472048606671283,-0.3549131808039326,-0.036624751985073,0.0562159609527659,1.4330034405781191,1.5866008677221064,1.1083938852888062
31,31,7,10000000,0.6050335080173588,0.6065845480880722,2.075896904301388,-0.3591355477524356,-0.036624751985073,0.0025635606130245,2.4310445236395557,1.593579600127092,1.243338346695968
32,32,8,10,0.5215243137443097,0.9265953909020308,1.187394835643082,0.9284730386403688,1.0990841388702393,0.7767060259367258,1.2767775237900638,0.780306333130186,1.0544147182213315
33,33,8,1000,0.5215243137443097,0.5568585878935741,0.7853330978701409,0.4918731020091205,0.8496900796890259,0.0677519210860567,0.5058417741481752,0.0568548981394689,0.6643228483470313
34,34,8,100000,0.5215243137443097,0.5287680571501182,-0.5422042528000174,0.3803824876434921,0.938474714756012,0.0138895603041048,2.0396528762144093,0.270633261731333,0.7944641798663475
35,35,8,10000000,0.5215243137443097,0.5212270966625812,-0.8509620557577434,0.5212270966625812,0.938474714756012,0.0005699007196705,2.631682422720082,0.0005699007196705,0.7608034688968024
36,36,9,10,-0.7212222746086938,-0.2318512841697808,-1.1424042376892118,-4.668999885205627,-1.6245583295822144,0.678530056083509,0.5839835760882932,5.473732231493874,1.304178614750593
37,37,9,1000,-0.7212222746086938,-1.360034721957197,-0.7407010336482013,0.0,-0.9162319898605348,0.8857358817641859,0.0270079831492667,1.0,0.2668066058888599
38,38,9,100000,-0.7212222746086938,-0.787807873897392,-0.7192423222886661,-2.0426796946643013,-0.926893711090088,0.0923232706932476,0.0027452733917597,1.832247098541954,0.30300886303998686
39,39,9,10000000,-0.7212222746086938,-0.7480203814359748,-0.7222548199003153,-2.0314545141806124,-0.926893711090088,0.0371565157798552,0.0014316602911102,1.816682991776423,0.1906937757041443
40,40,10,10,0.7163523725109571,-2.8456479865942277,1.4910269622372168,0.7976259097743761,1.351406216621399,4.97241371117355,1.0814155427598735,0.1134546912695202,0.8954200950359518
41,41,10,1000,0.7163523725109571,0.2921039156312149,0.248426297823797,-0.2920188284901233,0.1315620839595794,0.5922343153449289,0.6532065679450273,1.407646906321451,0.9221441191926614
42,42,10,100000,0.7163523725109571,-0.2339726066354472,0.8265390601295984,-0.2202810372492193,0.2854106426239013,1.3266166423311014,0.1538163225905362,1.3075037449476028,0.6253182563927163
43,43,10,10000000,0.7163523725109571,-0.1358587144283189,0.8182817516711196,0.0,0.2854106426239013,1.189653471729433,0.1422894417210902,1.0,0.6981221953733552
44,44,11,10,-0.8112412785229454,-1.2656233040140137,-0.3834406404742418,0.0,-0.5222059488296509,0.5601071315285844,0.5273408163199175,1.0,0.23132075919839665
45,45,11,1000,-0.8112412785229454,-0.6333481076319929,-0.7648194852592258,0.0,-0.9815561771392822,0.2192851567105271,0.0572231646646991,1.0,0.20053546012641205
46,46,11,100000,-0.8112412785229454,-0.8219271573584435,-0.8116730296103216,0.0,-0.9209312796592712,0.0131722572783207,0.0005322104518181,1.0,0.17801718939281233
47,47,11,10000000,-0.8112412785229454,-0.8136469235438282,-0.80496538559102,-0.8474282048664481,-0.9209312796592712,0.0029653878378364,0.0077361607428951,0.0446068602541891,0.21957866005361185
48,48,12,10,0.8830914919397734,0.9359437346937638,0.5465718164988139,0.0,0.2256748676300048,0.0598491132984382,0.3810700006878902,1.0,0.4708167524948139
49,49,12,1000,0.8830914919397734,0.0291030381075534,0.6816784441906923,0.0,0.0659455507993698,0.9670441416623472,0.2280772146345368,1.0,0.9078185646519746
50,50,12,100000,0.8830914919397734,0.1962480095912292,1.2743111014538164,-0.072318118965472,0.1337833851575851,0.7777715996785831,0.4430114128431939,1.081891989250876,0.847570552842011
51,51,12,10000000,0.8830914919397734,0.8740734966428636,1.2719220137875231,-0.066305820567693,0.1337833851575851,0.0102118471066923,0.4403060446134023,1.0750837497279555,0.8557650049193068
52,52,13,10,-0.7457816402862483,-0.4163667764902125,-0.7141211707944061,-0.4163667764902125,-0.9684717059135436,0.4417041745216452,0.0424527338587876,0.4417041745216452,0.2643872606829773
53,53,13,1000,-0.7457816402862483,0.3062345287834933,-0.9067496956462988,-1.0990673996100215,-0.8206208348274231,1.410622241472656,0.215838050529465,0.4737120629413376,0.0716418898665126
54,54,13,100000,-0.7457816402862483,0.4726918126369094,-0.7452787949491116,0.4395781088463157,-0.8256740570068359,1.633820661575256,0.0006742527704806,1.5894193220921815,0.0775705321266538
55,55,13,10000000,-0.7457816402862483,-0.7458215338656095,-0.7478431673224082,0.4718332744747153,-0.8256740570068359,5.349230553043801e-05,0.002764250183698,1.6326694691674293,0.09399849772290297
56,56,14,10,0.5906339012477964,0.5355486066932632,0.5357385717337985,0.0,0.3193352818489074,0.0932647015996843,0.0929430725158577,1.0,0.3338222590205317
57,57,14,1000,0.5906339012477964,-0.3797867910461827,0.6334774380499308,0.5954936253865493,0.4505624771118164,1.6430155638608457,0.0725382283536748,0.0082279803588755,0.07771646972017424
58,58,14,100000,0.5906339012477964,0.5818641484232404,0.5870401541365481,-0.2937567763756551,0.56740802526474,0.0148480349773838,0.0060845594938861,1.4973584749453983,0.226062822932452
59,59,14,10000000,0.5906339012477964,0.5906139521490043,0.5908743195463916,-0.331946545532372,0.56740802526474,3.3775742892440585e-05,0.0004070513021472,1.5620174270916192,0.01563422423778675
60,60,15,10,-0.5466396337754452,0.0780820116235357,-0.5088808738714736,-0.4226677819861798,-0.3176520764827728,1.142840011589081,0.0690743180167623,0.2267889924721264,0.3264346239129567
61,61,15,1000,-0.5466396337754452,0.7495786940867537,-0.5039132448389495,,-0.4967268109321594,2.3712483467575898,0.0781618936801193,,0.006402922906748207
62,62,15,100000,-0.5466396337754452,-0.5236912934837311,-0.5420659651178411,0.0,-0.509136438369751,0.0419807472305257,0.0083668808022854,1.0,0.1298136920404744
63,63,15,10000000,-0.5466396337754452,-0.5425044382906234,-0.543159924075485,0.0,-0.509136438369751,0.0075647560647248,0.006365637405263,1.0,0.010475003226079473
64,64,16,10,-0.6232592566216775,-0.3498603192472696,-0.0726774251579957,0.0,-0.093749850988388,0.438660051125984,0.8833913425499086,1.0,1.1742673346973778
65,65,16,1000,-0.6232592566216775,-0.6570319950958784,-28.166677267992867,0.2279930489836813,-0.4952012896537781,0.0541873034622271,44.192553449856305,1.3658077221660498,0.1513918442785644
66,66,16,100000,-0.6232592566216775,-0.1679825498878151,-2.591517354886205,-0.933697355293495,-0.5873560905456543,0.7304772482668771,3.1580086093438853,0.498088227930252,0.01557072761132453
67,67,16,10000000,-0.6232592566216775,-0.623709356181466,-3.128142822473461,-0.755761513396868,-0.5873560905456543,0.0007221706777821,4.019007402199346,0.2125957302157171,0.005085501561675405
68,68,17,10,0.6511416235059146,1.3474410223214577,1.1112880571364,0.0,1.4253963232040403,1.0693516950528934,0.7066764234068436,1.0,1.226773959870117
69,69,17,1000,0.6511416235059146,0.6559088489833891,0.7637724518908164,0.620598680716532,0.9322699904441832,0.0073213342618253,0.17297439499946,0.0469067583560877,0.4332955353084043
70,70,17,100000,0.6511416235059146,0.647142716252619,0.7225280786235928,0.0,1.0833957195281982,0.0061413786324463,0.109632762736492,1.0,0.45385805209714086
