,Unnamed: 0,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
0,0,0,10,0.8096934757736867,-0.6824601328866194,1.887281034623924,0.3701132849091169,0.5428970394562431,-2.887942678563239,3.231665029791605,0.9954291222154672,0.0086921448602594,0.9892648945306692,0.0010873977846696,1.001593349900265,1.7590560976008545,0.0,1.0,-2.4009713162473947,2.518112195201709,0.437456377471758,0.4410839,0.45524581674616355,-0.39605418,0.4196669381973524
1,1,0,1000,0.8096934757736867,-0.6824601328866194,0.1349965111226337,0.916191625632412,0.1315289712035325,-0.5879639382126574,0.1384640510417349,0.0523852434334051,0.8639521018627837,0.0670113168903223,-0.656691004726777,0.037759169976488,1.242499196100422,0.0,1.0,-1.6959123329644237,1.4849983922008438,0.35734916621931023,0.5403576,0.3326393185947909,-0.4217201,0.3820590138438295
2,2,0,100000,0.8096934757736867,-0.6824601328866194,0.0802315857723642,0.7658701013480438,0.0541234130406797,-0.7550327786064235,0.1063397585040486,0.1060202077391,0.8755081275214669,0.0812834161531218,-0.593223693751371,0.1307569993250782,0.4711575970221072,0.4575327014811978,0.4349309767575792,-0.3361906325326089,0.5073842172866353,0.3992945804620769,0.51258117,0.36694417709681026,-0.38787964,0.4316449838273435
3,3,0,10000000,0.8096934757736867,-0.6824601328866194,0.0014932170924239,0.8110038553300278,0.0016183649684086,-0.6815264801873702,0.0013680692164393,0.1086716043978825,0.873830041959281,0.0792109212987173,-0.5881903536054515,0.1381322874970478,0.4660413446315388,0.4618276804415765,0.4296265262600934,-0.3395538331139019,0.5024561630029841,0.23166080261824246,0.5866649,0.2754481385387689,-0.554244,0.18787346669771599
4,4,1,10,-0.6684430500020209,-0.8831558120602008,1.9210434598604484,-2.8110223255653004,3.2053280762763587,-1.445513085528976,0.6367588434445379,0.7665669743743595,0.1728089446734119,1.258524558932716,-0.6406329333978924,0.274609389816003,1.0,0.0,1.0,0.0,1.0,0.7333168745779681,-1.5296934,1.288442321439981,-0.725785,0.1781914277159552
5,5,1,1000,-0.6684430500020209,-0.8831558120602008,0.5393994079007113,-1.1512584065528657,0.7222984165208763,-1.1980012116865977,0.3565003992805463,0.9337810267663308,0.2380610475043119,1.3561426025801184,-0.4314927515508254,0.5114194509525433,1.0,0.0,1.0,0.0,1.0,0.3568821893962255,-0.99840957,0.4936344528684079,-1.0775648,0.22012992592404307
6,6,1,100000,-0.6684430500020209,-0.8831558120602008,0.0148469097528657,-0.6822872850876327,0.0207111661727502,-0.8910888945589451,0.0089826533329812,0.977857143704152,0.2025703270887231,1.303047996516847,-0.3067497839236366,0.6526662908914572,0.4456818656121004,-1.0885739259845268,0.6285215711065226,-1.1152863934225865,0.2628421601176783,0.4421725601908347,-1.1017084,0.6481709431597492,-1.0917344,0.2361741772219201
7,7,1,10000000,-0.6684430500020209,-0.8831558120602008,0.0152001572843217,-0.6820027099067513,0.0202854377866437,-0.8920888242784966,0.0101148767819996,0.9759156638086126,0.2043546642861765,1.3057173895151708,-0.3125365323722666,0.6461139381020544,0.4160073151746254,-1.096026518527737,0.6396707520923784,-1.0530254260569574,0.1923438782568724,0.4050133662042337,-1.0673515,0.5967724706743848,-1.0714926,0.2132542617340827
8,8,2,10,-0.5806972905059862,-0.7561626900859659,0.9832626854380782,0.5386173481270132,1.9275354938503213,-0.7856453803839423,0.0389898770258349,1.4681444622402742,0.54973482840539,1.9466805466345172,-0.007857756962302,0.9896083778460312,1.0,0.0,1.0,0.0,1.0,0.9373712675759449,0.38754693,1.6673820130952317,-0.5993644,0.207360522056658
9,9,2,1000,-0.5806972905059862,-0.7561626900859659,0.3326819572553402,-0.3424273979190602,0.4103168664336478,-0.5633056281135522,0.2550470480770326,1.0145138651875891,0.0368040097406442,1.0633789933970164,-0.0259751434544434,0.965648736978162,0.7508613552270064,-0.8720463090519508,0.5017227104540127,0.0,1.0,0.5500888801537469,-0.20244285,0.6513797154684999,-0.41679835,0.44879804483899377
10,10,2,100000,-0.5806972905059862,-0.7561626900859659,0.9994583170663356,-0.0477932280839043,0.9176968295439092,0.0614153859260949,1.0812198045887622,0.9732192751181384,-0.06171481804004,0.8937229102855545,0.0398616001147412,1.052715639950722,0.5339669061733338,-0.5412483097425342,0.0679338123466675,0.0,1.0,0.4963332835556439,-0.343879,0.4078170849497507,-0.31392133,0.584849482161537
11,11,2,10000000,-0.5806972905059862,-0.7561626900859659,0.0097960864495937,-0.5756563020517562,0.0086809229811241,-0.7479120099957229,0.0109112499180632,0.9748274931855864,-0.058987782307551,0.8984190502143509,0.0387427033134154,1.0512359361568222,0.453049680499585,-0.3625449526838006,0.375673076814428,-0.3550741241445282,0.5304262841847421,0.44802077977434346,-0.37945378,0.3465549358147124,-0.3406614,0.5494866237339745
12,12,3,10,-0.7689534703651255,-0.8611336434153593,0.1673426770048844,-0.5381965966323242,0.3000921156168656,-0.8313442420005424,0.0345932383929032,0.6588690656752483,0.1200148845816269,1.1560756134238392,-0.721920610349476,0.1616625179266573,0.8401543855161548,0.0,1.0,-1.4469704140618376,0.6803087710323098,0.4585614240858876,-1.2123896,0.5766748380501279,-0.5679624,0.34044801012164744
