,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
272,272,68,10,0.5791729992133094,0.2568034322719464,0.5031103137293792,0.3820261613171896,0.0,0.6205718517303467,0.5566032383747818,0.1313298195655636,0.340393696121719,1.0,0.6733582143208121
273,273,68,1000,0.5791729992133094,-0.1300192897421801,0.0818771897440703,-0.2888837365297714,0.0,0.8084737062454224,1.224491283120562,0.8586308583872451,1.4987866093933282,1.0,0.1424302516590541
274,274,68,100000,0.5791729992133094,0.5611203730392679,0.2140318333666041,-1.1766739281212366,0.0,0.7916803956031799,0.0311696612213664,0.630452673627183,3.0316450002322495,1.0,0.15095652139487375
275,275,68,10000000,0.5791729992133094,0.612340357602549,0.9783053345537795,-1.266682400638073,0.574338643777906,0.7916803956031799,0.0572667552428907,0.6891418209802795,3.187053613270314,0.0083469972563809,0.09082974555921425
276,276,69,10,0.8235266371217553,0.2447354856737399,0.2169979127813978,-0.2368869220206509,0.0,0.6778125166893005,0.7028201947066386,0.7365016466986295,1.287649374461737,1.0,0.094459722674876
277,277,69,1000,0.8235266371217553,0.4955480253172207,0.4660729985657786,2.890518908265183,-16.248565009520505,0.5442121028900146,0.3982610847304556,0.4340523092310474,2.509927642859997,20.7304668447758,0.11857244146956857
278,278,69,100000,0.8235266371217553,-0.0527494940794011,0.077534841914589,2.283506604423498,0.0,0.6312538385391235,1.0640531729049614,0.9058502318934392,1.7728387905027656,1.0,0.09899571412336713
279,279,69,10000000,0.8235266371217553,0.0091852825666733,0.1270942471104974,2.165143859123173,-0.5668528987120907,0.6312538385391235,0.9888464050188152,0.8456707513982853,1.629112115535693,1.688323696114135,0.09267695760929388
280,280,70,10,0.6673963401494807,0.5080864962445641,0.7134282301379897,0.9414636335345132,0.8329292313733054,0.937167763710022,0.238703502433404,0.0689723440470156,0.4106514778364653,0.2480278677985398,0.9653429230019669
281,281,70,1000,0.6673963401494807,1.0965540308403188,0.953175063045648,0.7936018710868162,0.0,0.8247495293617249,0.6430327301386116,0.4281994157057557,0.1891013230744845,1.0,0.09291690277166412
282,282,70,100000,0.6673963401494807,0.7608241234505595,0.7889426257377253,0.7990817160071666,0.2943243756820106,0.8061894774436951,0.1399884561550835,0.1821200960751765,0.1973121036716976,0.5589961197328576,0.23547745537907794
283,283,70,10000000,0.6673963401494807,0.0319117052143597,0.5037365762215783,0.7941088476688781,0.3663070067017835,0.8061894774436951,0.9521847764295316,0.2452212487279246,0.1898609565210035,0.4511402225853687,0.1313187051958362
284,284,71,10,-0.7684154493632742,-0.8439391991311258,-0.8616625369364606,-1.1887978946367994,-0.6937470263103825,-0.8004171848297119,0.0982850485768241,0.1213498344553755,0.5470770344634055,0.0971719440502706,0.22164880589621913
285,285,71,1000,-0.7684154493632742,-0.6749807104656024,-0.8636378939441576,-1.1902803239460165,-2.2307377288987915,-0.3264362812042236,0.121594040014544,0.1239205232791542,0.5490062373580706,1.903036021396016,0.17297115396421733
