,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,0,10,0.5348517198806163,0.1838663229598426,0.4293552908173781,0.3415878208488765,0.3997892132792878,0.1079159006476402,0.6562293508173008,0.1972442550746325,0.3613410817392118,0.2525232724903187,0.48745926276169677
1,1,0,1000,0.5348517198806163,0.2336462287052755,0.2455764757376023,0.4128305766396042,0.0,0.220667764544487,0.5631570021735605,0.5408512927799556,0.2281401343689206,1.0,0.6169192768162879
2,2,0,100000,0.5348517198806163,0.6338801613403581,0.6066710985530988,0.4337358241593521,0.0,0.2806794643402099,0.1851512069211365,0.134279045954107,0.1890540723021964,1.0,0.28635700290734734
3,3,0,10000000,0.5348517198806163,0.5334461889583424,0.5339266297509138,0.4321175746768396,0.0,0.2806794643402099,0.0026278889457205,0.001729619809223,0.1920796762637463,1.0,0.23740440104468893
4,4,1,10,-0.768187004071361,-0.2525068454698425,-0.3364208428847133,-0.1936489236751445,-0.3064072535618044,-0.3171832859516144,0.6712950829269877,0.5620586639689346,0.7479143455319957,0.6011293448888643,1.167883702117685
5,5,1,1000,-0.768187004071361,-0.3221749877444321,-0.3231093363039554,-0.6749174697238535,-0.6496560272730775,-0.3448646962642669,0.58060343895833,0.5793871354351368,0.1214151422156097,0.1542996382001699,0.14613156062666147
6,6,1,100000,-0.768187004071361,-0.3555682494988032,-0.3482088683980775,-0.7214081469039781,-1.080523920300643,-0.4273313283920288,0.5371332141596962,0.5467134089061854,0.0608951426143071,0.4065896904971166,0.19502643016747212
7,7,1,10000000,-0.768187004071361,-0.353364223899367,-0.3488050867872513,-0.7260224715747617,-0.7531333129017458,-0.4273313283920288,0.5400023405413649,0.5459372718640148,0.0548883699842992,0.0195963887566845,0.2124437420525257
8,8,2,10,0.8141340591266695,0.984717234524128,0.857926468712178,0.8190550842600783,0.1295055609558445,0.6502357721328735,0.2095271331363349,0.0537901701747807,0.0060444899439383,0.8409284570470291,1.0077559257714586
9,9,2,1000,0.8141340591266695,0.98074522026573,0.7522702444278826,3.338069892370924,0.9036924708405644,1.037398338317871,0.2046483122420725,0.0759872578788177,3.1001477028877877,0.1100045019735021,0.8689383817493299
10,10,2,100000,0.8141340591266695,0.8037190348677203,0.8106397995854054,3.4863021255766236,0.806247975708712,0.9938181638717652,0.012792763233762,0.0042919952827085,3.2822211974725857,0.0096864678851748,0.8829928047524854
11,11,2,10000000,0.8141340591266695,0.8136200844463436,0.8130838203931511,3.362373700988774,0.8252003487070856,0.9938181638717652,0.0006313145538674,0.0012900071207498,3.130000045196032,0.0135927117363042,0.9021518836851291
12,12,3,10,0.7363451269665403,1.6436427643860927,1.5824054853749236,5.018325358272764,0.9863042210397548,2.55326509475708,1.2321635659589014,1.1489997386060362,5.815181053681092,0.3394591543003077,3.4367804026007844
13,13,3,1000,0.7363451269665403,-0.1141051813220751,0.5289917341227512,11.010333486180388,0.0,1.3006106615066528,1.154961548794578,0.2815981056301758,13.952680588162158,1.0,0.808239212449232
14,14,3,100000,0.7363451269665403,0.7292631588880345,0.7300894275152567,9.895383746176744,0.6804370799498275,1.175365924835205,0.0096177292673624,0.0084956078640116,12.438513251173308,0.075926416797287,0.4141247191940817
15,15,3,10000000,0.7363451269665403,0.730686073039317,0.7321013213059179,8.696464565709059,0.7286597548345038,1.175365924835205,0.0076853281429816,0.0057633377409656,10.810310474295065,0.0104371874690028,0.5907686868057823
16,16,4,10,0.7389335775731437,0.7104217521366596,0.777521399455444,0.8110501633933589,0.0,0.5610600113868713,0.0385850992590221,0.0522209614685977,0.0975954916774325,1.0,0.04891490666546229
