Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate
0,10,-0.5561403121650581,-0.6216329525132418,-1.1401057324146382,-1.0117146968841553
0,1000,-0.5561403121650581,-0.20208530907311345,-1.1595763236861327,-0.9353830814361572
0,100000,-0.5561403121650581,-0.31721966099311977,-1.105724507934926,-0.982231080532074
0,10000000,-0.5561403121650581,-0.783036324673413,-1.1118089488047127,-0.982231080532074
1,10,0.8756511157694503,-0.12861075037171893,19.04487383613576,0.7003239989280701
1,1000,0.8756511157694503,0.2511069041877938,-18.13986395456784,1.2756447792053223
1,100000,0.8756511157694503,0.8378699366062062,-22.793107414480392,1.2351109981536865
1,10000000,0.8756511157694503,-0.050805556505288715,-21.13723991975714,1.2351109981536865
2,10,0.5707938494671746,-0.2648764032585146,2.7113760183016455,1.5253793001174927
2,1000,0.5707938494671746,0.553376150015963,0.06409189479040885,0.6367329955101013
2,100000,0.5707938494671746,0.5550702998165431,0.08298256922508054,0.661931037902832
2,10000000,0.5707938494671746,0.5825700607812373,0.08539824632260189,0.661931037902832
3,10,0.6609442574235832,-3.381747746733103,0.9311115019522962,1.0000280141830444
3,1000,0.6609442574235832,0.5730733317420649,0.6710125742907049,0.678320050239563
3,100000,0.6609442574235832,0.3523559855313337,0.6694431469748859,0.6750968098640442
3,10000000,0.6609442574235832,0.6588107989742543,0.6694111272890546,0.6750968098640442
4,10,-0.7575657068391233,0.66155263583681,-1.2576979619410704,-0.3683721721172333
4,1000,-0.7575657068391233,5.447442132544017,-1.1334250891066406,-0.85630863904953
4,100000,-0.7575657068391233,-0.8043541544735023,-1.1491355266627674,-0.8537684679031372
4,10000000,-0.7575657068391233,-0.7475361997646054,-1.1153988495682332,-0.8537684679031372
5,10,-0.7094701158399517,0.6888821681100865,0.7323740628211548,-0.2664682865142822
5,1000,-0.7094701158399517,0.018093619046151692,-0.34321466213510693,-0.20154021680355072
5,100000,-0.7094701158399517,-1.0046662214636584,-0.4770619754845143,-0.22096838057041168
5,10000000,-0.7094701158399517,-0.12343827001115533,-0.4704530337726596,-0.22096838057041168
6,10,0.8206883633844835,0.6960266823389525,1.6265913318072813,0.9501930475234985
6,1000,0.8206883633844835,-0.9110376729804909,1.5714801845509148,0.5448871850967407
6,100000,0.8206883633844835,-0.09018448250249278,1.7944844065510661,0.5258774161338806
6,10000000,0.8206883633844835,-0.07684161024840186,1.8183281058547256,0.5258774161338806
7,10,0.6050335080173588,0.02163071382043915,0.27224695696734524,0.11401218920946121
7,1000,0.6050335080173588,0.5772174985458798,-0.5294581034477187,0.11844760179519653
7,100000,0.6050335080173588,0.5960090525526358,-0.8688399714382291,0.0630306527018547
7,10000000,0.6050335080173588,0.6062801277512857,-0.871337843500226,0.0630306527018547
8,10,0.5215243137443097,0.9462944231918458,2.72905547598702,0.6796495318412781
8,1000,0.5215243137443097,0.5149443214159155,1.3335918463763108,0.69172203540802
8,100000,0.5215243137443097,0.5281674904691862,1.5773186848759342,0.6720954775810242
8,10000000,0.5215243137443097,0.5229110399365519,1.5455885197805361,0.6720954775810242
9,10,-0.7212222746086938,-1.2553096657698344,-1.5713120036682469,-1.5231491327285767
9,1000,-0.7212222746086938,-0.7083800993335142,-1.0370321118493853,-0.7255332469940186
9,100000,-0.7212222746086938,-0.7706180288172407,-1.0349768851597394,-0.7162790894508362
9,10000000,-0.7212222746086938,-1.375721430563336,-1.0418649044048292,-0.7162790894508362
10,10,0.7163523725109571,3.274601027489971,3.175695388417888,0.3049200773239136
10,1000,0.7163523725109571,0.06038189028983501,10.04331294851448,0.17559809982776642
10,100000,0.7163523725109571,0.9852521248372867,-1.920466032711677,0.15476037561893463
10,10000000,0.7163523725109571,-0.19937336414616647,-3.908528695882588,0.15476037561893463
11,10,-0.8112412785229454,0.12005855201671806,0.19034536171452912,-1.1318789720535278
11,1000,-0.8112412785229454,-0.514539573720703,-0.9017638799797731,-1.0997780561447144
11,100000,-0.8112412785229454,-0.3362644028346472,-0.9313120140691332,-1.1049779653549194
11,10000000,-0.8112412785229454,-0.7831030615905268,-0.9333599433027866,-1.1049779653549194
12,10,0.8830914919397734,0.8231223722597562,0.6716776569220184,0.6958016157150269
12,1000,0.8830914919397734,0.03347371726685887,-2.552219089636752,0.42941927909851074
12,100000,0.8830914919397734,0.23252653614104524,13.262583375239348,0.3481288552284241
12,10000000,0.8830914919397734,-0.00950865890340998,28.2341761205427,0.3481288552284241
