Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate
0,10,-0.5561403121650581,0.7304723574988339,-0.5029642826113723,0.13930389285087585
0,1000,-0.5561403121650581,-0.28801858987980195,-0.5345888707369534,-0.49297046661376953
0,100000,-0.5561403121650581,-0.5841691251984387,-0.518232810670093,-0.5273430347442627
0,10000000,-0.5561403121650581,-0.5534583880520482,-0.5157333281410932,-0.5273430347442627
1,10,0.8756511157694503,1.3372433768544867,-1.2552075887253067,1.085638165473938
1,1000,0.8756511157694503,0.26522477231405117,-0.5535404344774646,0.8433387875556946
1,100000,0.8756511157694503,-3.5632593728140676,-2.512994611934904,0.9092867374420166
1,10000000,0.8756511157694503,0.881342630766644,-1.6102133595177024,0.9092867374420166
2,10,0.5707938494671746,0.9540257278710321,-9.306659415172025,1.742914080619812
2,1000,0.5707938494671746,1.0631425379765331,-10.135756329410468,0.5424240231513977
2,100000,0.5707938494671746,0.5365972657213228,19.44546160901054,0.5894200801849365
2,10000000,0.5707938494671746,0.5461801916362307,18.00308480772983,0.5894200801849365
3,10,0.6609442574235832,0.837779038479151,0.811721709467441,0.9380975365638733
3,1000,0.6609442574235832,0.04182621749174815,0.571543391018955,0.5656282305717468
3,100000,0.6609442574235832,-0.32905050303769307,0.7427451578116564,0.7573990225791931
3,10000000,0.6609442574235832,0.6460696931626712,0.7493260892645626,0.7573990225791931
4,10,-0.7575657068391233,-1.4585956656897925,-1.6219247674882797,-1.2328096628189087
4,1000,-0.7575657068391233,2.6693090225035356,-1.6900427356439225,-1.112995982170105
4,100000,-0.7575657068391233,-1.5569027760399736,-2.3168757683877534,-1.0890551805496216
4,10000000,-0.7575657068391233,-0.70971009134823,-2.8302651695349073,-1.0890551805496216
5,10,-0.7094701158399517,-0.6729006771968501,3.151586849865448,-0.6570913791656494
5,1000,-0.7094701158399517,-0.10360908975637925,-0.7340184006537261,-0.6012652516365051
5,100000,-0.7094701158399517,-0.7388673893476055,-0.6987352258016046,-0.5384566187858582
5,10000000,-0.7094701158399517,0.16226842288583093,-0.709564541077535,-0.5384566187858582
6,10,0.8206883633844835,-5.174807082433865,0.7352208185329804,0.6889268159866333
6,1000,0.8206883633844835,0.85974750523387,0.638879326927836,0.6306033730506897
6,100000,0.8206883633844835,0.1059741503309758,0.8201145809603924,0.6785695552825928
6,10000000,0.8206883633844835,0.7049452034829725,0.8105805700861235,0.6785695552825928
7,10,0.6050335080173588,-0.9493243883511723,-0.37303155459151416,0.575100302696228
7,1000,0.6050335080173588,0.05347216628953261,0.588778904253872,0.20367972552776337
7,100000,0.6050335080173588,0.6205564937134765,-0.10512487741771007,0.1986815631389618
7,10000000,0.6050335080173588,-0.2616097841341293,-0.07303479723740952,0.1986815631389618
8,10,0.5215243137443097,0.3511695149149803,-0.9373102017240275,0.025698944926261902
8,1000,0.5215243137443097,1.5661430386092625,0.1534441872119687,1.095546841621399
8,100000,0.5215243137443097,0.35843380175583484,2.6621993913386177,1.1500413417816162
8,10000000,0.5215243137443097,0.5566084087329287,2.3844097984640555,1.1500413417816162
9,10,-0.7212222746086938,-0.6241038697626985,-0.11234274081042121,-0.6771629452705383
9,1000,-0.7212222746086938,-0.013661378971010153,-0.5050556082695845,-1.020477056503296
9,100000,-0.7212222746086938,-0.6787606046693917,-0.7377967738940665,-0.9644039869308472
